Server Node: rc13101
Client Node: rc13116
Infiniband hardware address can be incorrect! Please read BUGS section in ifconfig(8).
Infiniband hardware address can be incorrect! Please read BUGS section in ifconfig(8).
Server IB HW IP: 10.85.31.1
Client IB HW IP: 10.85.31.16
=== Run 1 of 10 ===
Running test with message size: 1 bytes
Running test with message size: 4 bytes
Running test with message size: 16 bytes
Running test with message size: 64 bytes
Running test with message size: 256 bytes
Running test with message size: 1024 bytes
Running test with message size: 4096 bytes
Running test with message size: 16384 bytes
Recv CQ error: local length error (1)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Completion error: remote invalid request error (9)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
Recv CQ error: Work Request Flushed Error (5)
[2026-07-07T21:47:15.024] error: *** JOB 15466408 ON rc13101 CANCELLED AT 2026-07-07T21:47:15 DUE TO TIME LIMIT ***
